word,pronunciation,meaning,partOfSpeech,example
about,əˈbaʊt,"เกี่ยวกับ, ประมาณ",preposition/adverb,Tell me about your day.
above,əˈbʌv,"ข้างบน, เหนือ",preposition/adverb,The plane flew above the clouds.
accept,ækˈsept,"ยอมรับ, รับ",verb,I accept your apology.
across,əˈkrɒs,"ข้าม, ฝั่งตรงข้าม",preposition/adverb,She walked across the street.
action,ˈækʃən,"การกระทำ, การดำเนินการ",noun,We need to take action now.
activity,ækˈtɪvɪti,"กิจกรรม, การดำเนินการ",noun,Swimming is my favorite activity.
actually,ˈæktʃuəli,"จริงๆ แล้ว, ที่จริง",adverb,I actually like vegetables now.
address,əˈdres,"ที่อยู่, แก้ไขปัญหา",noun/verb,What's your home address?
adult,ˈædʌlt,ผู้ใหญ่,noun/adjective,All adults must show ID.
after,ˈɑːftər,"หลังจาก, ภายหลัง",preposition/adverb,We'll meet after lunch.
again,əˈɡen,"อีกครั้ง, อีกแล้ว",adverb,Please say that again.
against,əˈɡenst,"ต่อต้าน, กับ",preposition,She leaned against the wall.
agree,əˈɡriː,"เห็นด้วย, ตกลง",verb,I agree with your opinion.
air,eər,"อากาศ, บรรยากาศ",noun,The air is fresh this morning.
allow,əˈlaʊ,"อนุญาต, ยอมให้",verb,Please allow me to help you.
almost,ˈɔːlmoʊst,"เกือบ, แทบจะ",adverb,I'm almost finished with my work.
alone,əˈloʊn,"คนเดียว, โดดเดี่ยว",adjective/adverb,She likes to be alone sometimes.
already,ɔːlˈredi,"แล้ว, เรียบร้อยแล้ว",adverb,I've already eaten lunch.
although,ɔːlˈðoʊ,"ถึงแม้ว่า, แม้ว่า",conjunction,"Although it's raining, we'll go out."
always,ˈɔːlweɪz,"เสมอ, ตลอดเวลา",adverb,She always arrives on time.
among,əˈmʌŋ,"ท่ามกลาง, ในจำนวน",preposition,He was among the winners.
animal,ˈænɪməl,สัตว์,noun,The zoo has many exotic animals.
answer,ˈænsər,"คำตอบ, ตอบ",noun/verb,Do you know the answer to this question?
appear,əˈpɪər,"ปรากฏ, ดูเหมือน",verb,Stars appear in the night sky.
area,ˈeriə,"พื้นที่, บริเวณ",noun,This is a residential area.
around,əˈraʊnd,"รอบๆ, ประมาณ",preposition/adverb,There are trees around the house.
arrive,əˈraɪv,"มาถึง, เดินทางมาถึง",verb,What time did you arrive home?
article,ˈɑːrtɪkəl,"บทความ, สิ่งของ",noun,I read an interesting article today.
artist,ˈɑːrtɪst,"ศิลปิน, จิตรกร",noun,She's a talented artist.
available,əˈveɪləbəl,"พร้อมใช้, มีอยู่",adjective,Is this room available tonight?
avoid,əˈvɔɪd,"หลีกเลี่ยง, เลี่ยง",verb,Try to avoid making noise.
