word,pronunciation,meaning,partOfSpeech,example
ability,/əˈbɪləti/,ความสามารถ,noun,"She has the ability to learn quickly"
able,/ˈeɪbəl/,สามารถ,adjective,"Are you able to help me?"
abroad,/əˈbrɔːd/,ต่างประเทศ,adverb,"She studied abroad for a year"
absolutely,/ˈæbsəluːtli/,อย่างแน่นอน,adverb,"You're absolutely right"
academic,/ˌækəˈdemɪk/,ทางวิชาการ,adjective,"He has strong academic skills"
accept,/əkˈsept/,ยอมรับ,verb,"I accept your apology"
access,/ˈækses/,การเข้าถึง,noun,"Students have access to the library"
accident,/ˈæksɪdənt/,อุบัติเหตุ,noun,"The accident happened at midnight"
according,/əˈkɔːdɪŋ/,ตาม,preposition,"According to the weather forecast"
account,/əˈkaʊnt/,บัญชี,noun,"I need to check my bank account"
accurate,/ˈækjərət/,ถูกต้อง,adjective,"Please give me accurate information"
achieve,/əˈtʃiːv/,บรรลุ,verb,"She achieved her goal"
achievement,/əˈtʃiːvmənt/,ความสำเร็จ,noun,"Winning was a great achievement"
acquire,/əˈkwaɪə/,ได้มา,verb,"He acquired new skills"
actual,/ˈæktʃuəl/,จริง,adjective,"What's the actual cost?"
actually,/ˈæktʃuəli/,จริงๆ แล้ว,adverb,"Actually I prefer tea"
adapt,/əˈdæpt/,ปรับตัว,verb,"Animals adapt to their environment"
addition,/əˈdɪʃən/,การเพิ่ม,noun,"In addition to English she speaks French"
additional,/əˈdɪʃənəl/,เพิ่มเติม,adjective,"Do you need additional help?"
adequate,/ˈædɪkwət/,เพียงพอ,adjective,"The salary is adequate"
administration,/ədˌmɪnɪˈstreɪʃən/,การบริหาร,noun,"The school administration is helpful"
admit,/ədˈmɪt/,ยอมรับ,verb,"I admit I was wrong"
adopt,/əˈdɒpt/,รับเลี้ยง,verb,"They decided to adopt a child"
advance,/ədˈvɑːns/,ก้าวหน้า,verb,"Technology continues to advance"
advanced,/ədˈvɑːnst/,ขั้นสูง,adjective,"This is an advanced course"
advantage,/ədˈvɑːntɪdʒ/,ข้อได้เปรียบ,noun,"Speaking two languages is an advantage"
adventure,/ədˈventʃə/,การผจญภัย,noun,"Traveling is an adventure"
advertising,/ˈædvətaɪzɪŋ/,การโฆษณา,noun,"Advertising influences our choices"
affect,/əˈfekt/,ส่งผลกระทบ,verb,"The weather affects my mood"
afford,/əˈfɔːd/,จ่ายได้,verb,"I can't afford a new car"
agency,/ˈeɪdʒənsi/,หน่วยงาน,noun,"The travel agency helped us"
agent,/ˈeɪdʒənt/,ตัวแทน,noun,"The real estate agent showed us houses"
agriculture,/ˈæɡrɪkʌltʃə/,เกษตรกรรม,noun,"Agriculture is important for the economy"
aid,/eɪd/,ความช่วยเหลือ,noun,"They provided aid to the victims"
aim,/eɪm/,เป้าหมาย,noun,"Our aim is to help students"
aircraft,/ˈeəkrɑːft/,อากาศยาน,noun,"The aircraft landed safely"
alarm,/əˈlɑːm/,สัญญาณเตือน,noun,"The fire alarm is very loud"
album,/ˈælbəm/,อัลบั้ม,noun,"I bought her latest album"
alcohol,/ˈælkəhɒl/,แอลกอฮอล์,noun,"He doesn't drink alcohol"
alert,/əˈlɜːt/,เตือนภัย,adjective,"Stay alert while driving"
alternative,/ɔːlˈtɜːnətɪv/,ทางเลือก,noun,"We need an alternative plan"
although,/ɔːlˈðəʊ/,แม้ว่า,conjunction,"Although it's expensive I'll buy it"
altogether,/ˌɔːltəˈɡeðə/,โดยรวม,adverb,"Altogether it was a good day"
amazing,/əˈmeɪzɪŋ/,น่าอัศจรรย์,adjective,"The view is amazing"
ambition,/æmˈbɪʃən/,ความทะเยอทะยาน,noun,"She has great ambition"
amount,/əˈmaʊnt/,จำนวน,noun,"A large amount of money"
analyse,/ˈænəlaɪz/,วิเคราะห์,verb,"Let's analyse the data"
analysis,/əˈnæləsɪs/,การวิเคราะห์,noun,"The analysis shows interesting results"
ancient,/ˈeɪnʃənt/,โบราณ,adjective,"Ancient civilizations were advanced"
angle,/ˈæŋɡəl/,มุม,noun,"Look at it from a different angle"
anniversary,/ˌænɪˈvɜːsəri/,วันครบรอบ,noun,"Today is our wedding anniversary"
announce,/əˈnaʊns/,ประกาศ,verb,"They will announce the winner"
annual,/ˈænjuəl/,ประจำปี,adjective,"The annual meeting is next week"
anxiety,/æŋˈzaɪəti/,ความวิตกกังวล,noun,"She suffers from anxiety"
anxious,/ˈæŋkʃəs/,กังวล,adjective,"I'm anxious about the exam"
apart,/əˈpɑːt/,แยกจากกัน,adverb,"Keep the dogs apart"
apartment,/əˈpɑːtmənt/,อพาร์ตเมนต์,noun,"I live in a small apartment"
apologize,/əˈpɒlədʒaɪz/,ขอโทษ,verb,"I apologize for being late"
apparent,/əˈpærənt/,เห็นได้ชัด,adjective,"It's apparent that he's tired"
appeal,/əˈpiːl/,อุทธรณ์,verb,"The case will appeal to higher court"
appearance,/əˈpɪərəns/,รูปลักษณ์,noun,"Don't judge by appearance"
application,/ˌæplɪˈkeɪʃən/,การสมัคร,noun,"Submit your application by Friday"
apply,/əˈplaɪ/,สมัคร,verb,"I want to apply for this job"
appointment,/əˈpɔɪntmənt/,การนัดหมาย,noun,"I have a doctor's appointment"
appreciate,/əˈpriːʃieɪt/,ขอบคุณ,verb,"I appreciate your help"
approach,/əˈprəʊtʃ/,เข้าใกล้,verb,"Approach the problem carefully"
appropriate,/əˈprəʊpriət/,เหมาะสม,adjective,"Wear appropriate clothes"
approval,/əˈpruːvəl/,การอนุมัติ,noun,"We need approval from the manager"
approve,/əˈpruːv/,อนุมัติ,verb,"The committee approved the plan"
approximately,/əˈprɒksɪmətli/,ประมาณ,adverb,"It costs approximately 100 dollars"
architect,/ˈɑːkɪtekt/,สถาปนิก,noun,"The architect designed a beautiful building"
architecture,/ˈɑːkɪtektʃə/,สถาปัตยกรรม,noun,"I study architecture at university"
argue,/ˈɑːɡjuː/,โต้เถียง,verb,"Don't argue with your parents"
argument,/ˈɑːɡjumənt/,การโต้เถียง,noun,"They had a big argument"
arise,/əˈraɪz/,เกิดขึ้น,verb,"Problems may arise"
arrange,/əˈreɪndʒ/,จัดเรียง,verb,"Arrange the chairs in a circle"
arrangement,/əˈreɪndʒmənt/,การจัดเรียง,noun,"The flower arrangement is beautiful"
arrest,/əˈrest/,จับกุม,verb,"Police arrested the thief"
arrival,/əˈraɪvəl/,การมาถึง,noun,"The arrival time is 3 PM"
aside,/əˈsaɪd/,ข้างๆ,adverb,"Put your worries aside"
aspect,/ˈæspekt/,ด้าน,noun,"Consider every aspect of the problem"
assess,/əˈses/,ประเมิน,verb,"Teachers assess student progress"
assessment,/əˈsesmənt/,การประเมิน,noun,"The assessment was fair"
assignment,/əˈsaɪnmənt/,งานที่ได้รับมอบหมาย,noun,"Complete your assignment by Monday"
assist,/əˈsɪst/,ช่วยเหลือ,verb,"Can you assist me with this?"
assistance,/əˈsɪstəns/,ความช่วยเหลือ,noun,"Thank you for your assistance"
assistant,/əˈsɪstənt/,ผู้ช่วย,noun,"She works as an assistant"
associate,/əˈsəʊʃieɪt/,เชื่อมโยง,verb,"I associate summer with holidays"
association,/əˌsəʊʃiˈeɪʃən/,สมาคม,noun,"He joined the teachers' association"
assume,/əˈsjuːm/,สมมติ,verb,"I assume you're coming to the party"
assumption,/əˈsʌmpʃən/,การสมมติ,noun,"That's a wrong assumption"
assure,/əˈʃʊə/,รับรอง,verb,"I assure you it's safe"
atmosphere,/ˈætməsfɪə/,บรรยากาศ,noun,"The restaurant has a nice atmosphere"
attach,/əˈtætʃ/,แนบ,verb,"Attach the file to your email"
attempt,/əˈtempt/,พยายาม,verb,"I'll attempt to solve this problem"
attend,/əˈtend/,เข้าร่วม,verb,"Will you attend the meeting?"
attitude,/ˈætɪtjuːd/,ทัศนคติ,noun,"He has a positive attitude"
attract,/əˈtrækt/,ดึงดูด,verb,"Flowers attract bees"
attraction,/əˈtrækʃən/,สิ่งดึงดูด,noun,"The museum is a popular attraction"
attractive,/əˈtræktɪv/,น่าดึงดูด,adjective,"She's very attractive"
audience,/ˈɔːdiəns/,ผู้ชม,noun,"The audience applauded loudly"
author,/ˈɔːθə/,ผู้เขียน,noun,"Who's the author of this book?"
authority,/ɔːˈθɒrəti/,อำนาจ,noun,"The police have authority to arrest"
automatic,/ˌɔːtəˈmætɪk/,อัตโนมัติ,adjective,"The door opens automatically"
automatically,/ˌɔːtəˈmætɪkli/,โดยอัตโนมัติ,adverb,"The lights turn on automatically"
average,/ˈævərɪdʒ/,เฉลี่ย,adjective,"The average temperature is 25 degrees"
avoid,/əˈvɔɪd/,หลีกเลี่ยง,verb,"Avoid eating too much sugar"
award,/əˈwɔːd/,รางวัล,noun,"She won an award for her research"
aware,/əˈweə/,ตระหนัก,adjective,"Are you aware of the problem?"
awareness,/əˈweənəs/,การตระหนัก,noun,"Environmental awareness is important"
awful,/ˈɔːfəl/,แย่มาก,adjective,"The weather is awful today"
background,/ˈbækɡraʊnd/,พื้นหลัง,noun,"Tell me about your background"
backward,/ˈbækwəd/,ข้างหลัง,adverb,"Don't look backward"
badly,/ˈbædli/,อย่างแย่,adverb,"He played badly today"
balance,/ˈbæləns/,สมดุล,noun,"Keep your balance on the bike"
band,/bænd/,วงดนตรี,noun,"The band played all night"
ban,/bæn/,ห้าม,verb,"They banned smoking in restaurants"
bargain,/ˈbɑːɡən/,ต่อรอง,verb,"Let's bargain for a better price"
barrier,/ˈbæriə/,อุปสรรค,noun,"Language is not a barrier"
basic,/ˈbeɪsɪk/,พื้นฐาน,adjective,"Learn the basic rules first"
basis,/ˈbeɪsɪs/,พื้นฐาน,noun,"On what basis did you decide?"
battle,/ˈbætəl/,การต่อสู้,noun,"The battle was fierce"
beach,/biːtʃ/,ชายหาด,noun,"Let's go to the beach"
bear,/beə/,หมี,noun,"Bears hibernate in winter"
beat,/biːt/,ตี,verb,"Beat the eggs until fluffy"
beauty,/ˈbjuːti/,ความงาม,noun,"The beauty of nature amazes me"
bedroom,/ˈbedruːm/,ห้องนอน,noun,"My bedroom is upstairs"
beer,/bɪə/,เบียร์,noun,"Would you like a cold beer?"
behave,/bɪˈheɪv/,ประพฤติ,verb,"Children should behave well"
behaviour,/bɪˈheɪvjə/,พฤติกรรม,noun,"His behaviour was strange"
bell,/bel/,กระดิ่ง,noun,"The church bell rang loudly"
belong,/bɪˈlɒŋ/,เป็นของ,verb,"This book belongs to me"
belt,/belt/,เข็มขัด,noun,"Fasten your seat belt"
bend,/bend/,งอ,verb,"Bend your knees when lifting"
benefit,/ˈbenɪfɪt/,ประโยชน์,noun,"Exercise has many benefits"
bet,/bet/,เดิมพัน,verb,"I bet you can't do it"
beyond,/bɪˈjɒnd/,เกิน,preposition,"Look beyond the mountains"
bicycle,/ˈbaɪsɪkəl/,จักรยาน,noun,"I ride my bicycle to work"
bid,/bɪd/,เสนอราคา,verb,"He bid $100 for the painting"
bill,/bɪl/,ใบเรียกเก็บเงิน,noun,"The electricity bill is high"
bind,/baɪnd/,ผูก,verb,"Bind the papers together"
biology,/baɪˈɒlədʒi/,ชีววิทยา,noun,"I study biology at university"
bird,/bɜːd/,นก,noun,"Birds can fly high"
birth,/bɜːθ/,การเกิด,noun,"The birth of a baby is special"
birthday,/ˈbɜːθdeɪ/,วันเกิด,noun,"Happy birthday to you"
bit,/bɪt/,นิดหน่อย,noun,"Wait just a bit longer"
bite,/baɪt/,กัด,verb,"The dog might bite"
bitter,/ˈbɪtə/,ขม,adjective,"This medicine tastes bitter"
blame,/bleɪm/,โทษ,verb,"Don't blame me for this"
blank,/blæŋk/,ว่าง,adjective,"Fill in the blank spaces"
blind,/blaɪnd/,ตาบอด,adjective,"He's been blind since birth"
block,/blɒk/,บล็อก,noun,"Walk three blocks down"
blood,/blʌd/,เลือด,noun,"Blood is red"
blow,/bləʊ/,เป่า,verb,"Blow out the candles"
board,/bɔːd/,กระดาน,noun,"Write on the board"
boat,/bəʊt/,เรือ,noun,"We sailed in a small boat"
bomb,/bɒm/,ระเบิด,noun,"The bomb exploded loudly"
bond,/bɒnd/,สายสัมพันธ์,noun,"There's a strong bond between them"
bone,/bəʊn/,กระดูก,noun,"The dog buried the bone"
bonus,/ˈbəʊnəs/,โบนัส,noun,"Employees got a Christmas bonus"
boot,/buːt/,รองเท้าบูท,noun,"Wear boots in the rain"
border,/ˈbɔːdə/,ชายแดน,noun,"Cross the border carefully"
bore,/bɔː/,น่าเบื่อ,verb,"This movie bores me"
borrow,/ˈbɒrəʊ/,ยืม,verb,"Can I borrow your pen?"
boss,/bɒs/,เจ้านาย,noun,"My boss is very kind"
bother,/ˈbɒðə/,รบกวน,verb,"Don't bother me now"
bottle,/ˈbɒtəl/,ขวด,noun,"Open the wine bottle"
bottom,/ˈbɒtəm/,ด้านล่าง,noun,"The treasure is at the bottom"
bound,/baʊnd/,มุ่งหน้า,adjective,"The train is bound for London"
bowl,/bəʊl/,ชาม,noun,"Eat soup from a bowl"
box,/bɒks/,กล่อง,noun,"Put the gifts in the box"
brain,/breɪn/,สมอง,noun,"Use your brain to think"
branch,/brɑːntʃ/,กิ่ง,noun,"The bird sat on a branch"
brand,/brænd/,ยี่ห้อ,noun,"What brand of car do you drive?"
brave,/breɪv/,กล้าหาญ,adjective,"The firefighter was very brave"
bread,/bred/,ขนมปัง,noun,"I need to buy fresh bread"
break,/breɪk/,หัก,verb,"Don't break the expensive vase"
breakfast,/ˈbrekfəst/,อาหารเช้า,noun,"Breakfast is the most important meal"
breath,/breθ/,ลมหายใจ,noun,"Take a deep breath"
breathe,/briːð/,หายใจ,verb,"Breathe slowly and relax"
breed,/briːd/,พันธุ์,noun,"What breed is your dog?"
brick,/brɪk/,อิฐ,noun,"The house is made of brick"
bride,/braɪd/,เจ้าสาว,noun,"The bride looked beautiful"
bridge,/brɪdʒ/,สะพาน,noun,"Cross the bridge carefully"
brief,/briːf/,สั้น,adjective,"Give me a brief summary"
bright,/braɪt/,สว่าง,adjective,"The sun is very bright"
brilliant,/ˈbrɪljənt/,ยอดเยี่ยม,adjective,"That's a brilliant idea"
bring,/brɪŋ/,นำมา,verb,"Bring your books to class"
broad,/brɔːd/,กว้าง,adjective,"The river is very broad"
broadcast,/ˈbrɔːdkɑːst/,ออกอากาศ,verb,"They broadcast the news live"
brother,/ˈbrʌðə/,พี่ชาย,noun,"My brother is a doctor"
brown,/braʊn/,สีน้ำตาล,adjective,"She has beautiful brown eyes"
brush,/brʌʃ/,แปรง,noun,"Brush your teeth twice daily"
budget,/ˈbʌdʒɪt/,งบประมาณ,noun,"We need to plan our budget"
build,/bɪld/,สร้าง,verb,"They will build a new school"
building,/ˈbɪldɪŋ/,อาคาร,noun,"That's a very tall building"
bunch,/bʌntʃ/,พวง,noun,"Buy a bunch of bananas"
burn,/bɜːn/,เผา,verb,"Don't burn the dinner"
burst,/bɜːst/,ระเบิด,verb,"The balloon will burst"
bury,/ˈberi/,ฝัง,verb,"Dogs bury their bones"
bus,/bʌs/,รถบัส,noun,"Take the bus to downtown"
bush,/bʊʃ/,พุ่มไม้,noun,"Hide behind the bush"
business,/ˈbɪznəs/,ธุรกิจ,noun,"Business is going well"
busy,/ˈbɪzi/,ยุ่ง,adjective,"I'm too busy to talk"
butter,/ˈbʌtə/,เนย,noun,"Spread butter on the toast"
button,/ˈbʌtən/,กระดุม,noun,"Press the red button"
buy,/baɪ/,ซื้อ,verb,"I want to buy a new phone"
buyer,/ˈbaɪə/,ผู้ซื้อ,noun,"The buyer paid cash"
background,/ˈbækɡraʊnd/,ภูมิหลัง,noun,"Tell me about your educational background"
balance,/ˈbæləns/,สมดุล,noun,"Try to maintain work-life balance"
band,/bænd/,วงดนตรี,noun,"My favorite band is playing tonight"
barrier,/ˈbæriə/,อุปสรรค,noun,"Language can be a barrier"
basic,/ˈbeɪsɪk/,พื้นฐาน,adjective,"These are basic computer skills"
basically,/ˈbeɪsɪkli/,โดยพื้นฐาน,adverb,"Basically I agree with you"
basis,/ˈbeɪsɪs/,พื้นฐาน,noun,"What's the basis of your argument?"
