word,pronunciation,meaning,partOfSpeech,example
a,eɪ,หนึ่ง,article,I have a book.
about,əˈbaʊt,"เกี่ยวกับ, ประมาณ",preposition/adverb,Tell me about your day.
after,ˈɑːftər,"หลังจาก, ภายหลัง",preposition/adverb,We'll meet after lunch.
again,əˈɡen,"อีกครั้ง, อีกแล้ว",adverb,Please say that again.
all,ɔːl,"ทั้งหมด, ทุก",determiner/pronoun,All students must attend.
also,ˈɔːlsoʊ,"ด้วย, เช่นกัน",adverb,I also like pizza.
and,ænd,และ,conjunction,Tom and Jerry are friends.
any,ˈeni,"ใดๆ, บาง",determiner/pronoun,Do you have any questions?
are,ɑːr,เป็น,verb,They are happy.
as,æz,"เป็น, เหมือน",preposition/adverb,She works as a teacher.
at,æt,ที่,preposition,I'm at home.
back,bæk,"กลับ, หลัง",adverb/noun,Come back soon.
be,biː,เป็น,verb,I want to be a doctor.
because,bɪˈkɔːz,เพราะ,conjunction,I'm happy because it's sunny.
been,bɪn,เป็น,verb,I have been here before.
before,bɪˈfɔːr,"ก่อน, ก่อนหน้า",preposition/adverb,Think before you speak.
big,bɪɡ,"ใหญ่, ขนาดใหญ่",adjective,That's a big house.
but,bʌt,แต่,conjunction,I like tea but not coffee.
by,baɪ,"โดย, ข้าง",preposition,The book is by the window.
call,kɔːl,"เรียก, โทร",verb/noun,Please call me tomorrow.
can,kæn,"สามารถ, ได้",modal verb,I can swim.
come,kʌm,"มา, เข้ามา",verb,Come here please.
could,kʊd,"สามารถ, อาจจะ",modal verb,Could you help me?
day,deɪ,"วัน, วันที่",noun,Today is a beautiful day.
do,duː,"ทำ, กระทำ",verb,What do you do?
down,daʊn,"ลง, ข้างล่าง",adverb/preposition,Please sit down.
each,iːtʃ,"แต่ละ, ทุก",determiner,Each student has a book.
find,faɪnd,"หา, ค้นหา",verb,I can't find my keys.
first,fɜːrst,"แรก, ที่หนึ่ง",ordinal number,This is my first time here.
for,fɔːr,"สำหรับ, เพื่อ",preposition,This gift is for you.
from,frʌm,"จาก, มาจาก",preposition,I'm from Thailand.
get,ɡet,"ได้, รับ",verb,Can I get some water?
give,ɡɪv,"ให้, มอบ",verb,Please give me the book.
go,ɡoʊ,"ไป, เดิน",verb,Let's go home.
good,ɡʊd,"ดี, เก่ง",adjective,That's a good idea.
great,ɡreɪt,"ยอดเยี่ยม, ดีมาก",adjective,You did a great job.
group,ɡruːp,"กลุ่ม, หมู่",noun,We work in a group.
hand,hænd,"มือ, ส่ง",noun/verb,Raise your hand.
have,hæv,"มี, ได้",verb,I have a car.
he,hiː,เขา,pronoun,He is my friend.
help,help,"ช่วย, ช่วยเหลือ",verb/noun,Can you help me?
her,hɜːr,"เธอ, ของเธอ",pronoun,This is her book.
here,hɪr,"ที่นี่, นี่",adverb,Come here.
him,hɪm,เขา,pronoun,I saw him yesterday.
his,hɪz,ของเขา,pronoun,This is his car.
how,haʊ,"อย่างไร, ยังไง",adverb,How are you?
I,aɪ,ฉัน,pronoun,I am a student.
if,ɪf,"ถ้า, หาก",conjunction,If it rains we'll stay inside.
in,ɪn,"ใน, ข้างใน",preposition,The book is in the bag.
into,ˈɪntuː,"เข้าไป, เข้าสู่",preposition,He walked into the room.
is,ɪz,เป็น,verb,She is beautiful.
it,ɪt,มัน,pronoun,It is raining.
its,ɪts,ของมัน,pronoun,The dog wagged its tail.
just,dʒʌst,"เพียง, แค่",adverb,I just arrived.
know,noʊ,"รู้, ทราบ",verb,I know the answer.
last,læst,"สุดท้าย, ล่าสุด",adjective/adverb,This is the last one.
leave,liːv,"ออก, จาก",verb,I have to leave now.
like,laɪk,"ชอบ, เหมือน",verb/preposition,I like chocolate.
little,ˈlɪtəl,"เล็ก, น้อย",adjective,A little bird.
long,lɔːŋ,"ยาว, นาน",adjective,It's a long story.
look,lʊk,"ดู, มอง",verb,Look at this picture.
make,meɪk,"ทำ, สร้าง",verb,Let's make a cake.
man,mæn,"ผู้ชาย, คน",noun,That man is tall.
may,meɪ,"อาจ, อาจจะ",modal verb,It may rain today.
me,miː,ฉัน,pronoun,Give it to me.
most,moʊst,"มากที่สุด, ส่วนใหญ่",determiner/adverb,Most people like music.
my,maɪ,ของฉัน,pronoun,This is my house.
new,nuː,"ใหม่, สด",adjective,I bought a new car.
no,noʊ,"ไม่, ไม่มี",determiner/adverb,No problem.
not,nɑːt,ไม่,adverb,I'm not ready.
now,naʊ,"ตอนนี้, เดี๋ยวนี้",adverb,I'm busy now.
number,ˈnʌmbər,"หมายเลข, จำนวน",noun,What's your phone number?
of,ʌv,ของ,preposition,The color of the sky.
old,oʊld,"เก่า, แก่",adjective,My grandfather is old.
on,ɑːn,"บน, เปิด",preposition/adverb,The book is on the table.
one,wʌn,"หนึ่ง, คนหนึ่ง",number/pronoun,I have one brother.
only,ˈoʊnli,"เพียง, แค่",adverb,I only have five dollars.
or,ɔːr,หรือ,conjunction,Tea or coffee?
other,ˈʌðər,"อื่น, อีก",determiner/pronoun,Do you have other questions?
our,aʊr,ของเรา,pronoun,This is our school.
out,aʊt,"ออก, ข้างนอก",adverb/preposition,Let's go out.
over,ˈoʊvər,"เหนือ, จบ",preposition/adverb,The plane flew over the city.
own,oʊn,"เป็นของตัวเอง, เอง",adjective/verb,I have my own car.
people,ˈpiːpəl,"คน, ผู้คน",noun,Many people came to the party.
place,pleɪs,"สถานที่, วาง",noun/verb,This is a nice place.
right,raɪt,"ขวา, ถูกต้อง",adjective/adverb,Turn right here.
said,sed,พูด,verb,He said hello.
same,seɪm,"เหมือนกัน, เดียวกัน",adjective,We have the same book.
say,seɪ,"พูด, บอก",verb,What did you say?
see,siː,"เห็น, ดู",verb,I can see the mountain.
she,ʃiː,เธอ,pronoun,She is my sister.
