word,pronunciation,meaning,partOfSpeech,example
abandon,/əˈbændən/,ละทิ้ง,verb,"Don't abandon your dreams"
ability,/əˈbɪləti/,ความสามารถ,noun,"She has the ability to succeed"
absence,/ˈæbsəns/,การขาดหาย,noun,"His absence was noticed"
absolute,/ˈæbsəluːt/,สมบูรณ์,adjective,"That's absolute nonsense"
absorb,/əbˈzɔːb/,ดูดซับ,verb,"Plants absorb sunlight"
abstract,/ˈæbstrækt/,นามธรรม,adjective,"Art can be very abstract"
abuse,/əˈbjuːs/,การใช้ในทางที่ผิด,noun,"Child abuse is a serious crime"
academic,/ˌækəˈdemɪk/,ทางวิชาการ,adjective,"Academic research is important"
accelerate,/əkˈseləreɪt/,เร่งความเร็ว,verb,"The car began to accelerate"
accent,/ˈæksent/,สำเนียง,noun,"She speaks with a British accent"
acceptable,/əkˈseptəbəl/,ยอมรับได้,adjective,"Your work is acceptable"
access,/ˈækses/,การเข้าถึง,noun,"Students have access to the library"
accompany,/əˈkʌmpəni/,ไปด้วย,verb,"I'll accompany you to the station"
accomplish,/əˈkʌmplɪʃ/,ทำสำเร็จ,verb,"We accomplished our goal"
accordance,/əˈkɔːdəns/,ความสอดคล้อง,noun,"Act in accordance with the rules"
according,/əˈkɔːdɪŋ/,ตาม,preposition,"According to the weather forecast"
accordingly,/əˈkɔːdɪŋli/,ตามนั้น,adverb,"Plan accordingly for the trip"
accurate,/ˈækjərət/,ถูกต้อง,adjective,"Please give me accurate information"
achieve,/əˈtʃiːv/,บรรลุ,verb,"You can achieve anything you want"
achievement,/əˈtʃiːvmənt/,ความสำเร็จ,noun,"Winning was a great achievement"
acknowledge,/əkˈnɒlɪdʒ/,ยอมรับ,verb,"Please acknowledge receipt of this email"
acquire,/əˈkwaɪə/,ได้มา,verb,"Children acquire language naturally"
acquisition,/ˌækwɪˈzɪʃən/,การได้มา,noun,"The acquisition of new skills"
adapt,/əˈdæpt/,ปรับตัว,verb,"Animals adapt to their environment"
adequate,/ˈædɪkwət/,เพียงพอ,adjective,"We need adequate funding"
adjust,/əˈdʒʌst/,ปรับ,verb,"Adjust the temperature please"
administration,/ədˌmɪnɪˈstreɪʃən/,การบริหาร,noun,"School administration is efficient"
administrative,/ədˈmɪnɪstrətɪv/,เกี่ยวกับการบริหาร,adjective,"Administrative duties are boring"
admission,/ədˈmɪʃən/,การรับเข้า,noun,"University admission is competitive"
adopt,/əˈdɒpt/,รับเลี้ยง,verb,"They decided to adopt a child"
advance,/ədˈvɑːns/,ก้าวหน้า,verb,"Technology continues to advance"
advanced,/ədˈvɑːnst/,ขั้นสูง,adjective,"This is an advanced course"
advantage,/ədˈvɑːntɪdʒ/,ข้อได้เปรียบ,noun,"Being tall is an advantage in basketball"
adventure,/ədˈventʃə/,การผจญภัย,noun,"Life is an adventure"
advertising,/ˈædvətaɪzɪŋ/,การโฆษณา,noun,"Advertising influences our choices"
advocate,/ˈædvəkeɪt/,สนับสนุน,verb,"I advocate for animal rights"
affair,/əˈfeə/,เรื่อง,noun,"This is a private affair"
affect,/əˈfekt/,ส่งผลกระทบ,verb,"Rain will affect our plans"
affection,/əˈfekʃən/,ความรัก,noun,"She shows affection to her pets"
afford,/əˈfɔːd/,สามารถซื้อได้,verb,"I can't afford a new car"
agency,/ˈeɪdʒənsi/,หน่วยงาน,noun,"The travel agency helped us"
agenda,/əˈdʒendə/,วาระการประชุม,noun,"What's on today's agenda?"
agent,/ˈeɪdʒənt/,ตัวแทน,noun,"The real estate agent showed us houses"
aggressive,/əˈɡresɪv/,ก้าวร้าว,adjective,"Don't be so aggressive"
agriculture,/ˈæɡrɪkʌltʃə/,เกษตรกรรม,noun,"Agriculture is important for food"
aid,/eɪd/,ความช่วยเหลือ,noun,"We need medical aid"
aim,/eɪm/,เป้าหมาย,noun,"Our aim is to help people"
aircraft,/ˈeəkrɑːft/,อากาศยาน,noun,"The aircraft landed safely"
airline,/ˈeəlaɪn/,สายการบิน,noun,"Which airline are you flying with?"
alarm,/əˈlɑːm/,สัญญาณเตือน,noun,"The fire alarm is very loud"
album,/ˈælbəm/,อัลบั้ม,noun,"I bought their new album"
alcohol,/ˈælkəhɒl/,แอลกอฮอล์,noun,"Alcohol is not allowed here"
alert,/əˈlɜːt/,เตือนภัย,adjective,"Stay alert while driving"
alien,/ˈeɪliən/,มนุษย์ต่างดาว,noun,"Do you believe in aliens?"
alliance,/əˈlaɪəns/,พันธมิตร,noun,"The two countries formed an alliance"
allocate,/ˈæləkeɪt/,จัดสรร,verb,"We need to allocate more resources"
alter,/ˈɔːltə/,เปลี่ยนแปลง,verb,"Don't alter the original plan"
alternative,/ɔːlˈtɜːnətɪv/,ทางเลือก,noun,"We need an alternative solution"
altogether,/ˌɔːltəˈɡeðə/,โดยรวม,adverb,"Altogether it was a good day"
amateur,/ˈæmətə/,มือสมัครเล่น,noun,"He's just an amateur photographer"
amazing,/əˈmeɪzɪŋ/,น่าอัศจรรย์,adjective,"The view is amazing"
ambition,/æmˈbɪʃən/,ความทะเยอทะยาน,noun,"She has great ambition"
ambulance,/ˈæmbjələns/,รถพยาบาล,noun,"Call an ambulance quickly"
amendment,/əˈmendmənt/,การแก้ไข,noun,"The amendment was approved"
amount,/əˈmaʊnt/,จำนวน,noun,"A large amount of money"
analyse,/ˈænəlaɪz/,วิเคราะห์,verb,"Let's analyse the data"
analysis,/əˈnæləsɪs/,การวิเคราะห์,noun,"The analysis shows interesting results"
analyst,/ˈænəlɪst/,นักวิเคราะห์,noun,"The financial analyst gave advice"
ancestor,/ˈænsestə/,บรรพบุรุษ,noun,"My ancestors came from Ireland"
ancient,/ˈeɪnʃənt/,โบราณ,adjective,"Ancient civilizations were advanced"
angle,/ˈæŋɡəl/,มุม,noun,"Look at it from a different angle"
anniversary,/ˌænɪˈvɜːsəri/,วันครบรอบ,noun,"Happy anniversary to you both"
announce,/əˈnaʊns/,ประกาศ,verb,"They will announce the winner"
annual,/ˈænjuəl/,ประจำปี,adjective,"The annual meeting is next week"
anticipate,/ænˈtɪsɪpeɪt/,คาดหวัง,verb,"I anticipate good results"
anxiety,/æŋˈzaɪəti/,ความวิตกกังวล,noun,"She suffers from anxiety"
anxious,/ˈæŋkʃəs/,กังวล,adjective,"I'm anxious about the exam"
apart,/əˈpɑːt/,แยกจากกัน,adverb,"Keep the dogs apart"
apartment,/əˈpɑːtmənt/,อพาร์ตเมนต์,noun,"I live in a small apartment"
apologize,/əˈpɒlədʒaɪz/,ขอโทษ,verb,"I apologize for being late"
apparent,/əˈpærənt/,เห็นได้ชัด,adjective,"It's apparent that he's lying"
appeal,/əˈpiːl/,อุทธรณ์,verb,"The decision will be appealed"
appetite,/ˈæpɪtaɪt/,ความอยากอาหาร,noun,"I have no appetite today"
applaud,/əˈplɔːd/,ปรบมือ,verb,"The audience applauded loudly"
application,/ˌæplɪˈkeɪʃən/,การสมัคร,noun,"Submit your application by Friday"
apply,/əˈplaɪ/,สมัคร,verb,"Apply for the job online"
appoint,/əˈpɔɪnt/,แต่งตั้ง,verb,"They will appoint a new manager"
appointment,/əˈpɔɪntmənt/,การนัดหมาย,noun,"I have a doctor's appointment"
appreciate,/əˈpriːʃieɪt/,ขอบคุณ,verb,"I appreciate your help"
approach,/əˈprəʊtʃ/,เข้าใกล้,verb,"Approach the problem carefully"
appropriate,/əˈprəʊpriət/,เหมาะสม,adjective,"Wear appropriate clothing"
approval,/əˈpruːvəl/,การอนุมัติ,noun,"We need approval from the boss"
approve,/əˈpruːv/,อนุมัติ,verb,"The committee approved the plan"
approximate,/əˈprɒksɪmət/,โดยประมาณ,adjective,"The approximate cost is $100"
architect,/ˈɑːkɪtekt/,สถาปนิก,noun,"The architect designed the building"
architecture,/ˈɑːkɪtektʃə/,สถาปัตยกรรม,noun,"I love modern architecture"
archive,/ˈɑːkaɪv/,หอจดหมายเหตุ,noun,"The documents are in the archive"
arise,/əˈraɪz/,เกิดขึ้น,verb,"Problems may arise"
